sutta,character,id,is_physically_present,mentioned_by_name,has_speaking_role,has_teaching_role,type,aliases
mn75,Bhāradvāja,Bhāradvāja5,TRUE,TRUE,TRUE,FALSE,,
mn75,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn75,Māgaṇḍiya,Māgaṇḍiya2,TRUE,TRUE,TRUE,FALSE,,
mn76,Ānanda,ānanda,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn76,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn76,Kisa Saṅkicca,kisasaṅkicca,FALSE,TRUE,FALSE,FALSE,,
mn76,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn76,Nanda Vaccha,,FALSE,TRUE,FALSE,FALSE,,
mn76,Sandaka,sandaka,TRUE,TRUE,TRUE,FALSE,,
mn77,Ajita Kesakambala,ajitakesakambala,FALSE,TRUE,FALSE,FALSE,,
mn77,Annabhāra,annabhāra,FALSE,TRUE,FALSE,FALSE,,
mn77,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn77,Makkhali Gosāla,makkhali,FALSE,TRUE,FALSE,FALSE,,
mn77,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn77,Pakudha Kaccāyana,pakudha,FALSE,TRUE,FALSE,FALSE,,
mn77,Pūraṇa Kassapa,pūraṇa-kassapa,FALSE,TRUE,FALSE,FALSE,,
mn77,Sakuludāyī,sakuladāyī,TRUE,TRUE,TRUE,FALSE,,
mn77,Sañjaya Belaṭṭhiputta,Sañjaya3,FALSE,TRUE,FALSE,FALSE,,
mn77,Varadhara,varadhara,FALSE,TRUE,FALSE,FALSE,,
mn78,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn78,Pañcakaṅga,pañcakaṅga,TRUE,TRUE,TRUE,FALSE,,
mn78,Uggāhamāna Samaṇamuṇḍikāputta,uggāhamāna,TRUE,TRUE,TRUE,FALSE,,Uggāhamāna
mn79,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn79,Nātaputta,nigaṇṭha-nāṭaputta,FALSE,TRUE,FALSE,FALSE,,
mn79,Sakuludāyī,sakuladāyī,TRUE,TRUE,TRUE,FALSE,,
mn80,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn80,Vekhanasa,vekhaṇassa,TRUE,TRUE,TRUE,FALSE,,
mn81,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn81,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn81,Ghaṭīkāra,ghaṭīkāra,FALSE,TRUE,TRUE,FALSE,,
mn81,Jotipāla,Jotipāla1,FALSE,TRUE,TRUE,FALSE,,
mn81,Kassapa,Kassapa1,FALSE,TRUE,TRUE,FALSE,,
mn81,Kikī,kikī,FALSE,TRUE,TRUE,FALSE,,
mn82,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn82,Koravya,korabya,TRUE,TRUE,TRUE,FALSE,,
mn82,Raṭṭhapāla,raṭṭhapāla,TRUE,TRUE,TRUE,TRUE,,
mn83,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn83,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn83,Kaḷārajanaka,kaḷārajanaka,FALSE,TRUE,FALSE,FALSE,,
mn83,Makhādeva,makhādeva,FALSE,TRUE,TRUE,FALSE,,
mn83,Mātali,mātali,FALSE,TRUE,TRUE,FALSE,,
mn83,Nimi,,FALSE,TRUE,TRUE,FALSE,,
mn83,Sakka,sakka,FALSE,TRUE,TRUE,FALSE,deva,
mn84,Avantiputta,avantiputta,TRUE,TRUE,TRUE,FALSE,,
mn84,Mahākaccāna,mahākaccāyana,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn85,Āḷāra Kālāma,āḷārakālāma,FALSE,TRUE,TRUE,FALSE,,Kālāma
mn85,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn85,Bodhi,bodhi,TRUE,TRUE,TRUE,FALSE,,
mn85,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn85,Rāma,,FALSE,TRUE,FALSE,FALSE,,
mn85,Sañjikāputta,sañjikāputta,TRUE,TRUE,TRUE,FALSE,,
mn85,Suddhodana,suddhodana,FALSE,FALSE,FALSE,FALSE,,
mn85,Uddaka,uddaka,FALSE,TRUE,TRUE,FALSE,,
mn86,Aṅgulimāla,aṅgulimāla,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn86,Bimbisāra,bimbisāra,FALSE,TRUE,FALSE,FALSE,,
mn86,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn86,Gagga,gagga2,FALSE,TRUE,FALSE,FALSE,,
mn86,Mantāṇī,mantāṇī,FALSE,TRUE,FALSE,FALSE,,
mn86,Pasenadi,pasenadi,TRUE,TRUE,TRUE,FALSE,,
mn87,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn87,Mallika,mallikā,TRUE,TRUE,TRUE,FALSE,,
mn87,Nāḷijaṅgha,nāḷijaṅgha,TRUE,TRUE,TRUE,FALSE,,
mn87,Pasenadi,pasenadi,TRUE,TRUE,TRUE,FALSE,,
mn87,Vajirī,vajirakumārī,FALSE,TRUE,FALSE,FALSE,,
mn87,Vāsabhā,vāsabhā,FALSE,TRUE,FALSE,FALSE,,
mn87,Viḍūḍabha,viḍūḍabha,FALSE,TRUE,FALSE,FALSE,,
mn88,Ajātasattu,ajātasattu,FALSE,TRUE,FALSE,FALSE,,
mn88,Ānanda,ānanda,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn88,Buddha,buddha,TRUE,TRUE,TRUE,FALSE,buddha,
mn88,Pasenadi,pasenadi,TRUE,TRUE,TRUE,FALSE,,
mn88,Sirivaḍḍha,Sirivaḍḍha2,TRUE,TRUE,TRUE,FALSE,,
mn89,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
